photon NN think  Sheldon
directed VBD think  Sheldon
plane NN think  Sheldon
two CD think  Sheldon
slits NNS think  Sheldon
either CC think  Sheldon
slit NN think  Sheldon
observed VBD think  Sheldon
will MD think  Sheldon
go VB think  Sheldon
slits NNS think  Sheldon
s RB think  Sheldon
unobserved VBD think  Sheldon
will MD think  Sheldon
however RB think  Sheldon
s VB think  Sheldon
observed JJ think  Sheldon
s NN think  Sheldon
left VBD think  Sheldon
plane NN think  Sheldon
hits NNS think  Sheldon
target NN think  Sheldon
will MD think  Sheldon
gone VBN think  Sheldon
slits NNS think  Sheldon

agreed VBD think  Leonard
s NNS think  Leonard
point NN think  Leonard

s JJ think  Sheldon
point NN think  Sheldon
just RB think  Sheldon
think VB think  Sheldon
s RB think  Sheldon
good JJ think  Sheldon
idea NN think  Sheldon
tee NN think  Sheldon
shirt NN think  Sheldon

excuse NN think  Leonard

hang NN think  Others

one CD think  Leonard
across IN think  Leonard
aegean JJ think  Leonard
eight CD think  Leonard
nabakov NNS think  Leonard
twenty RB think  Leonard
six CD think  Leonard
across IN think  Leonard
mcm NN think  Leonard
fourteen JJ think  Leonard
move NN think  Leonard
finger NN think  Leonard
phylum NN think  Leonard
makes VBZ think  Leonard
fourteen JJ think  Leonard
across IN think  Leonard
port NN think  Leonard
au NN think  Leonard
prince NN think  Leonard
see VBP think  Leonard
papa JJ think  Leonard
doc NN think  Leonard
s JJ think  Leonard
capital NN think  Leonard
idea NN think  Leonard
s NN think  Leonard
port NN think  Leonard
au VBD think  Leonard
prince NN think  Leonard
haiti NN think  Leonard

can MD think  Others
help VB think  Others

yes RB think  Leonard
um JJ think  Leonard
high JJ think  Leonard
iq NN think  Leonard
sperm VBD think  Leonard
bank NN think  Leonard

ask NN think  Others
maybe RB think  Others
shouldn VBD think  Others
t NN think  Others

think VB think  Sheldon
place NN think  Sheldon

fill NN think  Others

thank NN think  Leonard
ll NN think  Leonard
right RB think  Leonard
back RB think  Leonard

oh NNS think  Others
take VBP think  Others
time NN think  Others
ll NN think  Others
just RB think  Others
finish JJ think  Others
crossword NN think  Others
puzzle NN think  Others
oh UH think  Others
wait NN think  Others

leonard RB think  Sheldon
don VBZ think  Sheldon
t JJ think  Sheldon
think NN think  Sheldon
can MD think  Sheldon

kidding VBG think  Leonard
re NN think  Leonard
semi JJ think  Leonard
pro NN think  Leonard

committing VBG think  Sheldon
genetic JJ think  Sheldon
fraud NN think  Sheldon
s NN think  Sheldon
guarantee NN think  Sheldon
sperm NN think  Sheldon
going VBG think  Sheldon
generate JJ think  Sheldon
high JJ think  Sheldon
iq NN think  Sheldon
offspring VBG think  Sheldon
think VBP think  Sheldon
sister JJ think  Sheldon
basic JJ think  Sheldon
dna NN think  Sheldon
mix NN think  Sheldon
hostesses VBZ think  Sheldon
fuddruckers NNS think  Sheldon

sheldon JJ think  Leonard
	NN think  Leonard
little JJ think  Leonard
extra JJ think  Leonard
money NN think  Leonard
get VBP think  Leonard
fractional JJ think  Leonard
t1 NN think  Leonard
bandwidth NN think  Leonard
apartment NN think  Leonard

know VB think  Sheldon
yearn PRP think  Sheldon
faster JJR think  Sheldon
downloads NNS think  Sheldon
s VBP think  Sheldon
poor JJ think  Sheldon
woman NN think  Sheldon
going VBG think  Sheldon
pin JJ think  Sheldon
hopes NNS think  Sheldon
sperm JJ think  Sheldon
winds NNS think  Sheldon
toddler VBP think  Sheldon
doesn JJ think  Sheldon
t NN think  Sheldon
know VBP think  Sheldon
use IN think  Sheldon
integral JJ think  Sheldon
differential JJ think  Sheldon
solve NN think  Sheldon
area NN think  Sheldon
curve NN think  Sheldon

m JJ think  Leonard
sure JJ think  Leonard
ll NN think  Leonard
still RB think  Leonard
love VB think  Leonard

wouldn NN think  Sheldon
t NN think  Sheldon

well RB think  Leonard
want VB think  Leonard

want NN think  Sheldon
leave NN think  Sheldon

okay NN think  Leonard

s NN think  Sheldon
protocol NN think  Sheldon
leaving VBG think  Sheldon

don NN think  Leonard
t NN think  Leonard
know VBP think  Leonard
ve RB think  Leonard
never RB think  Leonard
reneged VBN think  Leonard
proffer NN think  Leonard
sperm NN think  Leonard

let VB think  Sheldon
s PRP think  Sheldon
try VB think  Sheldon
just RB think  Sheldon
walking VBG think  Sheldon

okay NN think  Leonard

bye NN think  Others

bye NN think  Sheldon
bye NN think  Sheldon

see VB think  Leonard

still RB great  Sheldon
